ActiveIngredient,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,SubmissionsPublicNotes,ReviewPriority,brand_name,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_N,ATC_P,ATC_R,ATC_S,ATC_V,description,dates,company,condition,dates_clean,approval_date,generic_name,generic_name_fw
CRIZOTINIB,ORIG,1,AP,2011-08-26T00:00:00Z,NA,PRIORITY,xalkori,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Xalkori (crizotinib) is an oral anaplastic lymphoma kinase (ALK) inhibitor for the treatment of patients with advanced non-small cell lung cancer (NSCLC) whose tumors are ALK-positive or ROS1-positive.,"August 26, 2011",Pfizer Inc.,Non-Small Cell Lung Cancer,"August 26, 2011",2011-08-26,crizotinib,crizotinib
MIRABEGRON,ORIG,1,AP,2012-06-28T00:00:00Z,NA,STANDARD,myrbetriq,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Myrbetriq (mirabegron) is a beta-3 adrenergic agonist indicated for the treatment of overactive bladder (OAB) with symptoms of urge urinary incontinence, urgency, and urinary frequency.","June 28, 2012",Astellas Pharma Inc.,Overactive Bladder,"June 28, 2012",2012-06-28,mirabegron,mirabegron
CARFILZOMIB,ORIG,1,AP,2012-07-20T00:00:00Z,NA,STANDARD,kyprolis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kyprolis (carfilzomib) is a proteasome inhibitor indicated for the treatment of patients with multiple myeloma.,"July 20, 2012",Amgen Inc.,Multiple Myeloma,"July 20, 2012",2012-07-20,carfilzomib,carfilzomib
PEGINESATIDE ACETATE,ORIG,1,AP,2012-03-27T00:00:00Z,NA,STANDARD,omontys,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Omontys (peginesatide) an erythropoiesis-stimulating agent (ESA) indicated for the treatment of anemia due to chronic kidney disease (CKD) in adult patients on dialysis.,"March 27, 2012Company: Affymax, Inc. and Takeda Pharmaceutical ","Affymax, Inc. and Takeda Pharmaceutical Company Limited",Anemia Associated with Chronic Renal Failure,"March 27, 2012",2012-03-27,peginesatide,peginesatide
DABRAFENIB MESYLATE,ORIG,1,AP,2013-05-29T00:00:00Z,NA,STANDARD,tafinlar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tafinlar (dabrafenib) is a kinase inhibitor indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test.,"May 29, 2013",GlaxoSmithKline,"Melanoma -- Metastatic, Non-Small Cell Lung Cancer, Thyroid Cancer","May 29, 2013",2013-05-29,dabrafenib,dabrafenib
LINACLOTIDE,ORIG,1,AP,2012-08-30T00:00:00Z,NA,STANDARD,linzess,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Linzess (linaclotide) is a guanylate cyclase-C agonist indicated in adults for treatment of irritable bowel syndrome with constipation (IBS-C) and chronic idiopathic constipation (CIC).,"August 30, 2012","Allergan, Inc.","Irritable Bowel Syndrome, Constipation -- Chronic","August 30, 2012",2012-08-30,linaclotide,linaclotide
INGENOL MEBUTATE,ORIG,1,AP,2012-01-23T00:00:00Z,NA,STANDARD,picato,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Picato (ingenol mebutate) is an inducer of cell death indicated for the topical treatment of actinic keratosis.,"January 23, 2012",Leo Pharma,Actinic Keratosis,"January 23, 2012",2012-01-23,ingenol mebutate,ingenol
PERAMPANEL,ORIG,1,AP,2012-10-22T00:00:00Z,NA,STANDARD,fycompa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fycompa (perampanel) is a non-competitive AMPA glutamate receptor antagonist indicated for the treatment of partial-onset seizures, and as adjunctive therapy in the treatment of primary generalized tonic-clonic (PGTC) seizures in patients with epilepsy.","October 22, 2012",Eisai Inc.,"Epilepsy, Seizures","October 22, 2012",2012-10-22,perampanel,perampanel
TERIFLUNOMIDE,ORIG,1,AP,2012-09-12T00:00:00Z,NA,STANDARD,aubagio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aubagio (teriflunomide) is an oral pyrimidine synthesis inhibitor indicated for the treatment of patients with relapsing forms of multiple sclerosis.,"September 12, 2012",Sanofi,Multiple Sclerosis,"September 12, 2012",2012-09-12,teriflunomide,teriflunomide
REGORAFENIB,ORIG,1,AP,2012-09-27T00:00:00Z,NA,PRIORITY,stivarga,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Stivarga (regorafenib) is an oral multi-kinase inhibitor for the treatment of
patients with metastatic colorectal cancer, gastrointestinal stromal tumors, and hepatocellular carcinoma.","September 27, 2012",Bayer HealthCare Pharmaceuticals Inc.,"Colorectal Cancer, Gastrointestinal Stromal Tumor, Hepatocellular Carcinoma","September 27, 2012",2012-09-27,regorafenib,regorafenib
COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,ORIG,1,AP,2012-08-27T00:00:00Z,NA,STANDARD,stribild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Stribild (cobicistat, elvitegravir, emtricitabine and tenofovir) is a complete once-daily single tablet regimen for HIV-1 infection for treatment-naïve adults. ","August 27, 2012","Gilead Sciences, Inc.",HIV Infection,"August 27, 2012",2012-08-27,"cobicistat, elvitegravir, emtricitabine and tenofovir",cobicistat
OLODATEROL HYDROCHLORIDE,ORIG,1,AP,2014-07-31T00:00:00Z,NA,STANDARD,striverdi respimat,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Striverdi Respimat (olodaterol) is a once-daily, long-acting beta-agonist (LABA) for the maintenance treatment of chronic obstructive pulmonary disease (COPD).","July 31, 2014",Boehringer Ingelheim Pharmaceuticals Inc.,Chronic Obstructive Pulmonary Disease,"July 31, 2014",2014-07-31,olodaterol,olodaterol
FLUTEMETAMOL F-18,ORIG,1,AP,2013-10-25T00:00:00Z,NA,STANDARD,vizamyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vizamyl (flutemetamol F 18) is a PET amyloid imaging agent for the evaluation of Alzheimer's disease or other cognitive disorders. ,"October 25, 2013",GE Healthcare,Diagnostic,"October 25, 2013",2013-10-25,flutemetamol F 18,flutemetamol
IVACAFTOR,ORIG,1,AP,2012-01-31T00:00:00Z,NA,PRIORITY,kalydeco,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Kalydeco (ivacaftor) is a cystic fibrosis transmembrane conductance regulator (CFTR) potentiator indicated for the treatment of cystic fibrosis (CF) in patients ages 6 months and older who have one mutation in the CFTR gene that is responsive to ivacaftor.,"January 31, 2012",Vertex Pharmaceuticals Incorporated,Cystic Fibrosis,"January 31, 2012",2012-01-31,ivacaftor,ivacaftor
DROXIDOPA,ORIG,1,AP,2014-02-18T00:00:00Z,NA,PRIORITY,northera,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Northera (droxidopa) is an orally active synthetic precursor of norepinephrine indicated for the treatment of neurogenic orthostatic hypotension.,"February 18, 2014","Chelsea Therapeutics International, Ltd.",Neurogenic Orthostatic Hypotension,"February 18, 2014",2014-02-18,droxidopa,droxidopa
TOFACITINIB CITRATE,ORIG,1,AP,2012-11-06T00:00:00Z,NA,STANDARD,xeljanz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Xeljanz (tofacitinib) is an oral Janus kinase (JAK) inhibitor for the treatment of adult patients with moderately to severely active rheumatoid arthritis, active psoriatic arthritis, and moderately to severely active ulcerative colitis.","November 6, 2012",Pfizer Inc.,"Rheumatoid Arthritis, Psoriatic Arthritis, Ulcerative Colitis","November 6, 2012",2012-11-06,tofacitinib,tofacitinib
INSULIN ASPART; INSULIN DEGLUDEC,ORIG,1,AP,2015-09-25T00:00:00Z,NA,STANDARD,ryzodeg 70/30,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ryzodeg 70/30 (insulin degludec and insulin aspart) is a long-acting insulin analog and rapid-acting human insulin analog combination indicated to improve glycemic control in adults with diabetes mellitus. ,"September 25, 2015",Novo Nordisk,"Diabetes Type 1, Diabetes Type 2","September 25, 2015",2015-09-25,insulin degludec and insulin aspart,insulin
INSULIN DEGLUDEC,ORIG,1,AP,2015-09-25T00:00:00Z,NA,STANDARD,tresiba,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tresiba (insulin degludec) is a long-acting basal insulin analogue indicated to improve glycemic control in patients one year of age and older with diabetes mellitus.,"September 25, 2015",Novo Nordisk,"Diabetes Type 1, Diabetes Type 2","September 25, 2015",2015-09-25,insulin degludec,insulin
BOSUTINIB MONOHYDRATE,ORIG,1,AP,2012-09-04T00:00:00Z,NA,STANDARD,bosulif,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bosulif (bosutinib) is a kinase inhibitor indicated for the treatment of adult patients with chronic, accelerated, or blast phase Ph+ chronic myelogenous leukemia (CML). ","September 4, 2012",Pfizer Inc.,Chronic Myelogenous Leukemia,"September 4, 2012",2012-09-04,bosutinib,bosutinib
VISMODEGIB,ORIG,1,AP,2012-01-30T00:00:00Z,NA,PRIORITY,erivedge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Erivedge (vismodegib) is a hedgehog pathway inhibitor for the treatment of patients with advanced basal cell carcinoma (BCC).,"January 30, 2012",Genentech,Basal Cell Carcinoma,"January 30, 2012",2012-01-30,vismodegib,vismodegib
ENZALUTAMIDE,ORIG,1,AP,2012-08-31T00:00:00Z,NA,PRIORITY,xtandi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Xtandi (enzalutamide) is an androgen receptor inhibitor indicated for the treatment of patients with castration-resistant prostate cancer, and metastatic castration-sensitive prostate cancer.","August 31, 2012",Astellas Pharma Inc.,Prostate Cancer,"August 31, 2012",2012-08-31,enzalutamide,enzalutamide
TEDUGLUTIDE RECOMBINANT,ORIG,1,AP,2012-12-21T00:00:00Z,NA,STANDARD,gattex,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gattex (teduglutide) is a recombinant analog of human glucagon-like peptide 2 for the treatment of short bowel syndrome in adults and pediatric patients one year of age and older.,"December 21, 2012",Biotest Pharmaceuticals Corporation,Primary Immunodeficiency Syndrome,"December 21, 2012",2012-12-21,teduglutide,teduglutide
PONATINIB HYDROCHLORIDE,ORIG,1,AP,2012-12-14T00:00:00Z,NA,PRIORITY,iclusig,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Iclusig (ponatinib) is a kinase inhibitor  for the treatment of chronic myeloid leukemia (CML) and Philadelphia-chromosome positive acute lymphoblastic leukemia (Ph+ ALL).,"December 14, 2012","Ariad Pharmaceuticals, Inc.","Chronic Myelogenous Leukemia, Acute Lymphoblastic Leukemia","December 14, 2012",2012-12-14,ponatinib,ponatinib
OSPEMIFENE,ORIG,1,AP,2013-02-26T00:00:00Z,NA,STANDARD,osphena,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Osphena (ospemifene) is an estrogen agonist/antagonist indicated for the treatment of symptoms of vulvar and vaginal atrophy due to menopause, including severe dyspareunia and moderate to severe vaginal dryness.","February 26, 2013",Duchesnay Inc.,"Dyspareunia, Atrophic Vaginitis","February 26, 2013",2013-02-26,ospemifene,ospemifene
EFINACONAZOLE,ORIG,1,AP,2014-06-06T00:00:00Z,NA,STANDARD,jublia,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jublia (efinaconazole) is a topical triazole antifungal for the treatment of onychomycosis of the toenails.,"June 6, 2014","Valeant Pharmaceuticals International, Inc.",Onychomycosis -- Toenail,"June 6, 2014",2014-06-06,efinaconazole,efinaconazole
MIPOMERSEN SODIUM,ORIG,1,AP,2013-01-29T00:00:00Z,NA,STANDARD,kynamro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kynamro (mipomersen) is an oligonucleotide inhibitor of apolipoprotein B-100 synthesis indicated for the treatment of patients with homozygous familial hypercholesterolemia.,"January 29, 2013",Kastle Therapeutics,Homozygous Familial Hypercholesterolemia,"January 29, 2013",2013-01-29,mipomersen,mipomersen
OMACETAXINE MEPESUCCINATE,ORIG,1,AP,2012-10-26T00:00:00Z,NA,STANDARD,synribo,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Synribo (omacetaxine mepesuccinate) is a first-in-class small molecule drug for the treatment of adult patients with chronic or accelerated phase chronic myeloid leukemia.,"October 26, 2012",Teva Pharmaceuticals,Chronic Myelogenous Leukemia,"October 26, 2012",2012-10-26,omacetaxine mepesuccinate,omacetaxine
SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,ORIG,1,AP,2014-10-10T00:00:00Z,NA,STANDARD,lumason,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lumason (sulfur hexafluoride lipid microsphere) is a contrast agent used for ultrasound imaging.,"October 10, 2014",Bracco Diagnostics Inc.,Diagnostic,"October 10, 2014",2014-10-10,sulfur hexafluoride lipid microsphere,sulfur
CABOZANTINIB S-MALATE,ORIG,1,AP,2012-11-29T00:00:00Z,NA,PRIORITY,cometriq,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Cometriq (cabozantinib) is a kinase inhibitor indicated for the treatment of patients with progressive, metastatic medullary thyroid cancer.","November 29, 2012","Exelixis, Inc.",Thyroid Cancer,"November 29, 2012",2012-11-29,cabozantinib,cabozantinib
LOMITAPIDE MESYLATE,ORIG,1,AP,2012-12-21T00:00:00Z,NA,STANDARD,juxtapid,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Juxtapid (lomitapide) is a microsomal triglyceride transfer protein inhibitor indicated for the treatment of patients with homozygous familial hypercholesterolemia.,"December 20, 2012",Cangene Corporation,Varicella-Zoster,"December 20, 2012",2012-12-20,lomitapide,lomitapide
RADIUM RA-223 DICHLORIDE,ORIG,1,AP,2013-05-15T00:00:00Z,NA,PRIORITY,xofigo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xofigo (radium 223 dichloride) is an alpha
particle-emitting radioactive therapeutic
agent indicated for the treatment of
patients with castration-resistant prostate cancer.","May 15, 2013",Bayer HealthCare Pharmaceuticals Inc.,Prostate Cancer,"May 15, 2013",2013-05-15,radium 223 dichloride,radium
UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE,ORIG,1,AP,2013-12-18T00:00:00Z,NA,STANDARD,anoro ellipta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anoro Ellipta (umeclidinium bromide and vilanterol) is a long-acting muscarinic antagonist (LAMA) and long-acting beta2 agonist (LABA) combination for the treatment of COPD.,"December 18, 2013","GlaxoSmithKline plc (GSK) and Theravance, Inc.",Chronic Obstructive Pulmonary Disease,"December 18, 2013",2013-12-18,umeclidinium bromide and vilanterol,umeclidinium
POMALIDOMIDE,ORIG,1,AP,2013-02-08T00:00:00Z,NA,PRIORITY,pomalyst,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Pomalyst (pomalidomide) is a thalidomide analogue indicated for the treatment of patients with multiple myeloma.,"February 8, 2013",Celgene Corporation,Multiple Myeloma,"February 8, 2013",2013-02-08,pomalidomide,pomalidomide
CANAGLIFLOZIN,ORIG,1,AP,2013-03-29T00:00:00Z,NA,STANDARD,invokana,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invokana (canagliflozin) is a selective sodium glucose co-transporter 2 (SGLT2) inhibitor indicated:,"March 29, 2013","Janssen Research & Development, LLC","Diabetes Type 2, Cardiovascular Risk Reduction, Diabetic Nephropathy","March 29, 2013",2013-03-29,canagliflozin,canagliflozin
DIMETHYL FUMARATE,ORIG,1,AP,2013-03-27T00:00:00Z,NA,STANDARD,tecfidera,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,Tecfidera (dimethyl fumarate) is an oral Nrf2 pathway activator for the treatment of relapsing forms of multiple sclerosis.,"March 27, 2013",Biogen Idec,Multiple Sclerosis,"March 27, 2013",2013-03-27,dimethyl fumarate,dimethyl
TRAMETINIB DIMETHYL SULFOXIDE,ORIG,1,AP,2013-05-29T00:00:00Z,NA,STANDARD,mekinist,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mekinist (trametinib) is a kinase inhibitor indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test.,"May 29, 2013",GlaxoSmithKline,"Melanoma -- Metastatic, Non-Small Cell Lung Cancer, Thyroid Cancer","May 29, 2013",2013-05-29,trametinib,trametinib
LULICONAZOLE,ORIG,1,AP,2013-11-14T00:00:00Z,NA,STANDARD,luzu,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Luzu (luliconazole) Cream  is an azole antifungal indicated for the
topical treatment of interdigital tinea
pedis, tinea cruris, and tinea corporis. ","November 14, 2013","Valeant Pharmaceuticals International, Inc.","Tinea Corporis, Tinea Pedis, Tinea Cruris","November 14, 2013",2013-11-14,luliconazole,luliconazole
FLUTICASONE FUROATE; VILANTEROL TRIFENATATE,ORIG,1,AP,2013-05-10T00:00:00Z,NA,STANDARD,breo ellipta,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,Breo Ellipta (fluticasone and vilanterol) is a once-a-day inhaled corticosteroid/long-acting beta2 agonist (LABA) combination indicated for the treatment of patients with chronic obstructive pulmonary disease (COPD) and asthma.,"May 10, 2013","GlaxoSmithKline plc (GSK) and Theravance, Inc.","Chronic Obstructive Pulmonary Disease, Asthma","May 10, 2013",2013-05-10,fluticasone and vilanterol,fluticasone
CARIPRAZINE HYDROCHLORIDE,ORIG,1,AP,2015-09-17T00:00:00Z,NA,STANDARD,vraylar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Vraylar (cariprazine) is a dopamine D3/D2 receptor partial
agonist atypical antipsychotic for the:","September 17, 2015",Allergan and Gedeon Richter plc,"Schizophrenia, Bipolar Disorder","September 17, 2015",2015-09-17,cariprazine,cariprazine
BEDAQUILINE FUMARATE,ORIG,1,AP,2012-12-28T00:00:00Z,NA,PRIORITY,sirturo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sirturo (bedaquiline) is an oral diarylquinoline antimycobacterial drug indicated for the treatment of pulmonary multi-drug resistant tuberculosis.,"December 28, 2012","Janssen Research & Development, LLC",Tuberculosis -- Resistant,"December 28, 2012",2012-12-28,bedaquiline,bedaquiline
MACITENTAN,ORIG,1,AP,2013-10-18T00:00:00Z,NA,STANDARD,opsumit,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Opsumit (macitentan) is a dual endothelin receptor antagonist for the treatment of patients with pulmonary arterial hypertension.,"October 18, 2013",Actelion Pharmaceuticals Ltd.,Pulmonary Hypertension,"October 18, 2013",2013-10-18,macitentan,macitentan
TAVABOROLE,ORIG,1,AP,2014-07-07T00:00:00Z,NA,STANDARD,kerydin,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kerydin (tavaborole) is an oxaborole antifungal indicated for the topical treatment of onychomycosis of the toenails.,"July 7, 2014",Anacor Pharmaceuticals,Onychomycosis -- Toenail,"July 7, 2014",2014-07-07,tavaborole,tavaborole
VORTIOXETINE HYDROBROMIDE,ORIG,1,AP,2013-09-30T00:00:00Z,NA,STANDARD,trintellix,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Trintellix (vortioxetine) is a multimodal antidepressant for the treatment of major depressive disorder (MDD).,"September 30, 2013Company: Takeda Pharmaceutical ",Takeda Pharmaceutical Company Limited and H. Lundbeck A/S,Depression,"September 30, 2013",2013-09-30,vortioxetine,vortioxetine
SUVOREXANT,ORIG,1,AP,2014-08-13T00:00:00Z,NA,STANDARD,belsomra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Belsomra (suvorexant) is an orexin receptor antagonist for use in patients with difficulty falling or staying asleep (insomnia).,"August 13, 2014","Merck, Sharpe & Dohme Corp.",Insomnia,"August 13, 2014",2014-08-13,suvorexant,suvorexant
EMPAGLIFLOZIN,ORIG,1,AP,2014-08-01T00:00:00Z,NA,STANDARD,jardiance,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jardiance (empagliflozin) is a sodium glucose co-transporter-2 (SGLT2) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults
with type 2 diabetes, and to reduce the risk of cardiovascular death in adult patients with type 2 diabetes mellitus and established cardiovascular disease.","August 1, 2014","Boehringer Ingelheim Pharmaceuticals, Inc.",Diabetes Type 2,"August 1, 2014",2014-08-01,empagliflozin,empagliflozin
SOFOSBUVIR,ORIG,1,AP,2013-12-06T00:00:00Z,NA,PRIORITY,sovaldi,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sovaldi (sofosbuvir) is a hepatitis C virus (HCV) nucleotide analog NS5B polymerase inhibitor indicated for the treatment of:,"December 6, 2013",Gilead Sciences,Chronic Hepatitis C,"December 6, 2013",2013-12-06,sofosbuvir,sofosbuvir
FLORBETABEN F-18,ORIG,1,AP,2014-03-19T00:00:00Z,NA,STANDARD,neuraceq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neuraceq (florbetaben F18) is a radioactive diagnostic agent indicated for PET imaging of the brain to estimate β-amyloid neuritic plaquedensity in adult patients with cognitive impairment who are being evaluated
for Alzheimer’s Disease (AD) and other causes of cognitive decline.","March 19, 2014",Piramal Imaging,Positron Emission Tomography Imaging,"March 19, 2014",2014-03-19,florbetaben F18,florbetaben
MILTEFOSINE,ORIG,1,AP,2014-03-19T00:00:00Z,NA,PRIORITY,impavido,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Impavido (miltefosine) is an oral alkylphosphocholine antiparasitic for the treatment of leishmaniasis.,"March 19, 2014",Paladin Labs Inc. ,Leishmaniasis,"March 19, 2014",2014-03-19,miltefosine,miltefosine
NALOXEGOL OXALATE,ORIG,1,AP,2014-09-16T00:00:00Z,NA,STANDARD,movantik,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Movantik (naloxegol) is a peripherally-acting mu-opioid receptor antagonist indicated for the treatment of opioid-induced constipation.,"September 16, 2014",AstraZeneca Pharmaceuticals LP,Opioid-Induced Constipation,"September 16, 2014",2014-09-16,naloxegol,naloxegol
GADOTERATE MEGLUMINE,ORIG,1,AP,2013-03-20T00:00:00Z,NA,PRIORITY,dotarem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dotarem (gadoterate meglumine) is a gadolinium-based contrast agent indicated for use in magnetic resonance imaging (MRI).,"March 20, 2013",Guerbet,Diagnostic,"March 20, 2013",2013-03-20,gadoterate meglumine,gadoterate
DOLUTEGRAVIR SODIUM,ORIG,1,AP,2013-08-12T00:00:00Z,NA,PRIORITY,tivicay,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tivicay (dolutegravir) is an integrase inhibitor indicated for use in combination with other antiretroviral (ARV) agents for the treatment of HIV-1.,"August 12, 2013",ViiV Healthcare,HIV Infection,"August 12, 2013",2013-08-12,dolutegravir,dolutegravir
RIOCIGUAT,ORIG,1,AP,2013-10-08T00:00:00Z,NA,STANDARD,adempas,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Adempas (riociguat) is an oral soluble guanylate cyclase (sGC) stimulator for the treatment of pulmonary hypertension.,"October 8, 2013",Bayer HealthCare Pharmaceuticals Inc.,Pulmonary Hypertension,"October 8, 2013",2013-10-08,riociguat,riociguat
VORAPAXAR SULFATE,ORIG,1,AP,2014-05-08T00:00:00Z,NA,STANDARD,zontivity,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Zontivity (vorapaxar) is a protease-activated receptor-1 (PAR-1) antagonist for the prevention of cardiovascular events in high risk patients.,"May 8, 2014",Merck,Cardiovascular Risk Reduction,"May 8, 2014",2014-05-08,vorapaxar,vorapaxar
CANGRELOR,ORIG,1,AP,2015-06-22T00:00:00Z,NA,STANDARD,kengreal,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kengreal (cangrelor) is an intravenous P2Y12 platelet inhibitor indicated for use in patients undergoing Percutaneous Coronary Intervention (PCI) to reduce the risk of periprocedural thrombotic events.,"June 22, 2015Company: The Medicines ",The Medicines Company,Percutaneous Coronary Intervention,"June 22, 2015",2015-06-22,cangrelor,cangrelor
